Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Carlos Martín Vigaray,0.3538343,-0.07101873,-0.022310818,0.09854034,-0.05028658,-0.1442755,-0.018248454,-0.04430737,0.0061669787,0.05700927,0.2888984,0.17753708,-0.004653645,-0.25574234,0.25790712,0.031154688
Celso Borges Mora,0.117188334,0.019664174,0.0111966655,-0.39302722,-0.01149598,-0.153809,0.0007890168,0.0077079483,-0.0053337645,-0.07322321,0.0144262975,-0.04986505,-0.0065043657,0.036390368,0.33610192,-0.2848641
Charles Días Barbosa de Oliveira,0.79340583,0.079848774,0.013040906,-0.3589183,0.02585314,0.18273166,0.016064694,-0.008233356,0.009714411,-0.12420393,-0.12572859,-0.086060256,0.008307389,0.14220153,-0.87526256,-0.14868118
Charly Musonda Junior,-0.8436807,-0.16307727,-0.04001919,0.6495724,-0.0832278,-0.14009458,-0.0030754504,0.004410392,-0.07298816,0.19980343,0.38837263,0.3353129,-0.004078466,-0.3548689,-0.80975115,-0.4467952
Christian Atsu Twasam,-0.6417616,-0.039839033,-0.012994747,-0.25875774,0.0128082605,0.14953168,-0.018193355,-0.04466243,-0.025691947,0.08643405,0.3071023,0.0981578,-0.01200862,-0.30508518,-0.74721426,0.44021553
Claudio Andrés Bravo Muñoz,-0.93264174,0.012750633,0.017889466,-0.72540987,-0.0052207815,0.09699759,0.022232385,0.08535997,-0.056594063,-0.013150021,-0.10401514,0.051814284,0.043822914,0.030312901,1.0164412,1.1900115
Cristiano Biraghi,0.34343976,0.0035748845,-0.010886086,0.27168426,0.0420099,-0.5365967,-0.013318911,-0.035956495,0.044268154,0.008001213,-0.076475486,-0.1803158,-0.018302081,0.017863555,0.49662888,0.17436002
Cristiano Piccini,-0.051410712,-0.08672097,-0.05133353,0.46321306,-0.020965453,-0.41953865,-0.011873273,-0.04638248,0.018873205,0.095214255,0.2782718,0.1035419,-0.013831494,-0.2880342,0.13226262,-0.69211376
Cristiano Ronaldo dos Santos Aveiro,0.15892094,0.1203842,0.042332623,-0.70954114,0.11243553,1.2006499,-0.022488568,-0.08153543,0.08049985,-0.14597116,-0.14622666,-0.41119754,0.02469191,0.22113189,-1.7668283,-0.8537204
Cédric Bakambu,0.16815394,0.014455042,-0.0031667044,-0.31694221,-0.005855555,0.41583657,0.0017331523,-0.026369888,-0.021558074,0.0025192543,0.110145345,0.06775141,0.016654601,-0.07291767,-0.92893547,0.261138
Damián Nicolás Suárez Suárez,0.075408824,-0.040451173,-0.023917357,0.25551426,-0.010744768,-0.42815238,-0.007553056,0.003520282,0.013767967,0.018002857,-0.050713282,-0.07146325,-0.020940628,0.02257972,0.57039404,-0.42307115
Dani Castellano Betancor,-0.048505113,-0.07914109,-0.018181099,0.3896146,-0.036278334,-0.17891815,-0.020453585,-0.01104869,-0.017714975,0.092066474,0.27147597,0.2204481,0.0014287537,-0.27847266,0.69313264,-0.6135224
Daniel Alves da Silva,-0.58372873,0.03281361,0.03109671,-0.28666148,0.006997317,-0.26486868,0.00052763236,0.012269031,0.028882625,0.029684182,-0.18237056,-0.08584991,-0.024723481,0.14480731,0.56601506,-1.1974119
Daniel Arnaud N''Di	,-0.20992638,0.026778312,-0.014914304,0.37251753,0.017459586,-0.2171356,-0.03112198,-0.060385637,0.060043015,0.08824219,0.081229635,-0.021856995,-0.0035782305,-0.16252832,-0.690538,0.28862053
Daniel Carvajal Ramos,-0.46701077,-0.047421917,0.013776302,0.01906382,-0.050447084,0.09193294,0.0019508835,0.064984426,-0.051755175,0.063731976,-0.057881966,0.15009953,-0.012360329,0.0807178,0.55582356,-0.80347276
