Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Luka Modrić,0.08757059,-0.040385887,-0.4139738,-0.045458786,0.005228295,0.020124858,0.07529892,-0.0019059182,0.68191373,-0.14412129,-1.519585,-0.057378974,-0.038143773,0.031390574,0.058021165,0.2507039
Mamadou Sylla Diallo,0.05992357,-0.060309395,-0.005235625,0.22784026,0.028213566,0.04240914,0.1183345,0.045204345,-0.1826842,-0.27318388,1.2295843,0.2785518,-0.015059401,0.013236417,-0.06478117,-0.6445149
Manuel Agudo Durán,0.00662149,0.040382594,-0.5738597,0.7023558,-0.02163715,-0.04108941,-0.07377719,0.025648223,0.2504094,0.38423565,-0.7028384,-0.3511275,0.0018542157,0.07685039,0.053473316,-1.2765946
Manuel Trigueros Muñoz,-0.016709717,0.019435229,0.37926176,-0.39136684,0.0018056189,-0.021140756,-0.00922164,-0.02264085,0.30541438,0.158544,-0.3208401,0.33571306,-0.0040549054,-0.012932843,0.025924714,0.18736172
Marc Bartra Aregall,0.14073393,0.000363625,-0.5005491,-0.24232075,0.07309806,-0.019283295,0.12013679,0.046923008,0.9536819,-0.07994442,0.39274305,0.14306739,0.01608202,0.08704816,0.11720128,0.49948898
Marcelo Alfonso Díaz Rojas,0.106751315,-0.017587092,0.045793153,-0.49258807,0.08063773,0.07476781,0.06764436,0.03989456,0.67857325,-0.031503074,-0.9013045,0.15836301,0.016950455,0.04676501,0.061225213,0.7339911
Marcelo Vieira da Silva Júnior,0.023184378,-0.0025146871,-0.4970574,0.6937098,-0.028103113,-0.027013944,0.011439176,0.008022678,0.57398283,0.0016086389,-1.4000428,-0.24779654,-0.011449341,0.009412277,0.014590591,0.20042384
Marco Asensio Willemsen,-0.029841851,0.006759693,0.313905,0.2311907,-0.018211097,-0.0064872396,-0.04209693,-0.028089246,0.27962813,0.04529743,-0.5564146,-0.039819274,-0.0049760765,-0.005621402,-0.03212383,-0.7909841
Marcos Alberto Angeleri,0.1613334,-0.13175954,0.007982107,-0.35005328,0.063297175,0.077300936,0.14335394,0.044618826,-0.61156243,-0.29306784,0.4095608,0.0751657,-0.021224808,0.07250982,0.021239867,0.7619437
Mariano Ferreira Filho,-0.053995967,0.034280647,0.49774644,0.1644657,-0.036980227,-0.045387816,-0.06689826,0.019584145,-0.351223,0.013257837,-0.13650858,-0.07089562,0.0014604476,-0.01735595,-0.03483151,0.10520503
Mario Gaspar Pérez Martínez,-0.031806376,0.025255486,0.15195584,-0.29266483,0.0040713893,-0.0062366365,-0.034172416,-0.016674306,-0.20106134,0.16725834,-0.34670812,0.006042457,0.017002925,-0.018051585,0.038916264,0.4169586
Markel Bergara Larrañaga,0.1506031,-0.10160768,0.17293695,-0.3386973,0.07106831,0.057815645,0.13992178,0.027438736,-0.49962476,-0.24738161,0.031926505,0.28404865,-0.021971678,0.08162053,0.032636475,0.23709014
Markel Susaeta Laskurain,-0.06877888,0.06889932,0.2079438,0.45860505,-0.041588206,-0.07309539,-0.10847195,0.023387812,0.06891246,0.07317625,-0.09605506,-0.3033469,-0.009010314,-0.0080984915,0.0055067367,-0.6070724
Martín Montoya Torralbo,-0.010294886,-0.022185057,0.248063,0.17278163,-0.012395214,0.026422897,0.009721299,0.008073111,-0.49893427,-0.3284059,-0.7734086,-0.18219021,-0.013463229,-0.033195347,-0.07293146,0.4571297
Mateo Kovačić,0.110181935,-0.04816888,-0.0019923598,-0.036151875,0.08279516,0.034994375,0.12480531,-0.035077415,1.1197864,-0.28472367,-0.0043534213,0.34827256,-0.018503504,-0.013217819,-0.009845761,0.26887223
Mateo Pablo Musacchio,0.026016453,-0.031241054,-0.1867665,-0.109639525,0.03038388,0.020769237,0.047501083,0.007792657,0.27139086,0.0890427,0.15403007,0.03502994,-0.0004451275,0.034801647,0.06371094,0.97057086
Matías Nahuel Leiva Esquivel,-0.044202425,-0.0017158111,0.4278158,0.5656214,-0.025018925,-0.03703405,-0.007273611,0.020740084,0.023161832,0.009396046,0.39137515,0.17517118,-0.022485165,-0.00074422284,-0.045034077,-0.43350324
Mauricio Andrés Cuero Castillo,-0.054907832,0.017211616,0.06733799,0.7438879,-0.018634593,-0.04840039,-0.017898196,0.02644924,0.3676963,-0.0018425096,0.66611004,0.07575362,0.014930456,-0.0113335755,-0.065068945,-0.6595795
